"","CRUISE","PERMIT","OBSERVER_SEQ"
"1",22327,34017,7894
"2",22338,5822,12196
"3",22349,34249,11963
"4",22353,4635,12188
"5",22360,34249,12287
"6",22364,3694,3842
"7",22368,1879,6475
"8",22374,3367,12160
"9",22379,1996,12371
"10",22389,1610,12391
"11",22390,1996,12390
"12",22409,2733,12272
"13",22411,3423,11944
"14",22419,2733,7953
"15",22423,3423,7383
"16",22426,2800,7445
"17",22429,661,12177
"18",22436,1610,11935
"19",22439,2134,12310
"20",22439,3835,12310
"21",22442,661,10240
"22",22446,34249,8171
"23",22451,2123,11865
"24",22456,3369,11499
"25",22458,2110,12056
"26",22465,2733,12320
"27",22468,2733,11965
"28",22473,1996,12171
"29",22476,3694,12178
"30",22477,3819,12351
"31",22479,3369,12170
"32",22492,2800,11869
"33",22497,34249,12385
"34",22498,4635,12380
"35",22501,661,12374
"36",22505,5822,12405
"37",22508,2123,12395
"38",22509,2110,12435
"39",22512,5822,9579
"40",22516,4092,11524
"41",22523,4092,10744
"42",22528,3835,10439
"43",22529,1879,7959
"44",22531,3367,11962
"45",22533,1879,11885
"46",22537,1879,1774
"47",22539,2800,5949
"48",22540,3423,12350
"49",22544,2733,11919
"50",22548,1610,10120
"51",22554,2123,1022
"52",22558,1610,12481
"53",22558,4092,12481
"54",22559,34249,12491
"55",22561,2800,12465
"56",22562,34249,12475
"57",22563,3367,12485
"58",22565,3369,12495
"59",22566,2733,12290
"60",22570,661,11525
"61",22571,3835,12005
"62",22576,3367,10142
"63",22579,1610,12226
"64",22582,1996,10159
"65",22582,2123,10159
"66",22583,4635,12287
"67",22589,1996,12160
"68",22594,3694,12176
"69",22595,3694,12165
"70",22596,5822,12391
"71",22598,2134,12265
"72",22599,2123,12170
"73",22601,2733,11874
"74",22604,2134,11999
"75",22604,4635,11999
"76",22605,1996,7759
"77",22609,4093,12060
"78",22610,34249,12313
"79",22611,2110,12080
"80",22612,3369,12270
"81",22613,4092,12178
"82",22614,4635,3842
"83",22615,4635,6090
"84",22616,34017,12381
"85",22618,1879,12515
"86",22621,2110,12525
"87",22622,3423,12352
"88",22623,661,12450
"89",22627,3835,12177
"90",22630,4093,11940
"91",22631,34017,10900
"92",22632,5822,12041
"93",22633,3819,12050
"94",22635,2123,6189
"95",22636,3694,11991
"96",22637,4092,9201
"97",22640,1610,11619
"98",22646,3423,11886
"99",22649,34017,12267
"100",22651,2733,12555
"101",22656,2800,12520
"102",22657,3835,12560
"103",22658,4093,12530
"104",22659,1879,11950
"105",22661,2800,83
"106",22691,34249,10439
"107",22694,34249,12390
"108",22706,3367,12405
"109",22707,3367,11672
"110",22708,3367,12110
"111",22708,5822,12110
"112",22709,2733,11539
"113",22713,2800,12335
"114",22715,661,12305
"115",22716,3819,11585
"116",22717,34249,12325
"117",22718,1610,11946
"118",22721,3694,7179
"119",22724,34017,12380
"120",22733,4635,12372
"121",22737,2123,12481
"122",22740,4092,12290
"123",22744,1879,12286
"124",22747,3694,12573
"125",22749,661,12572
"126",22750,2733,12585
"127",22757,3423,12606
"128",22758,3369,12600
"129",22760,2134,12574
"130",22760,5822,12574
"131",22765,5822,12385
"132",22780,5822,11905
"133",22781,5822,7953
"134",22786,3835,11718
"135",22794,4093,11885
"136",22796,4093,8261
"137",22797,3819,11890
"138",22804,4092,11499
"139",22805,2134,10279
"140",22806,2110,12188
"141",22808,4093,9182
"142",22810,3423,12280
"143",22810,3819,12280
"144",22816,4635,11794
"145",22818,3369,11963
"146",22824,1879,12189
"147",22826,4092,12176
"148",22833,2123,3512
"149",22834,1610,12131
"150",22835,4635,11661
"151",22844,1610,12690
"152",22846,4092,12615
"153",22848,2110,12671
"154",22851,661,12695
"155",22854,1879,12220
"156",22857,3819,12393
"157",22863,3423,4161
"158",22867,4635,12450
"159",22869,5822,12121
"160",22870,5822,11994
"161",22871,2733,12160
"162",22873,3367,12381
"163",22877,3835,10904
"164",22881,3835,12178
"165",22882,4635,12041
"166",22888,34017,12313
"167",22889,2733,12560
"168",22893,34249,11788
"169",22895,1996,12710
"170",22898,4092,12675
"171",22900,1879,12740
"172",22901,34017,12721
"173",22902,3835,12735
"174",22903,34249,12666
"175",22906,1996,12730
"176",22907,3369,12722
"177",22909,2800,12655
"178",22909,3694,12655
"179",22917,3369,10341
"180",22920,3367,11619
"181",22922,1996,3283
"182",22928,1996,11974
"183",22928,2110,11974
"184",22930,2134,12555
"185",22931,661,12390
"186",22932,5822,12270
"187",22936,2110,12372
"188",22937,2134,10480
"189",22937,3694,10480
"190",22940,4093,83
"191",22942,4092,12267
"192",22943,1879,12550
"193",22946,2800,7535
"194",22949,3694,8171
"195",22954,2123,11539
"196",22956,3367,12380
"197",22958,2123,12117
"198",22968,3423,12765
"199",22969,3819,12766
"200",22972,661,12726
"201",22973,3367,12755
"202",22974,2733,12761
"203",22975,1879,12750
"204",22977,2733,12775
"205",22978,4093,12741
"206",22979,1610,12762
"207",22979,1996,12762
"208",22979,5822,12762
"209",22981,3694,12784
"210",22982,34249,12770
"211",22983,2110,12760
"212",22984,2123,12725
"213",22985,1996,12758
"214",22985,3694,12758
"215",22986,2134,12786
"216",22986,4635,12786
"217",22997,1610,12245
"218",23000,3819,7383
"219",23008,2123,12176
"220",23008,34017,12176
"221",23009,1996,7759
"222",23009,4092,7759
"223",23010,34249,12374
"224",23011,2733,12385
"225",23012,1610,12491
"226",23012,3423,12491
"227",23047,1879,11672
"228",23055,4092,12481
"229",23055,34017,12481
"230",23056,4092,12475
"231",23058,4093,7959
"232",23059,4092,11946
"233",23062,2110,12340
"234",23063,34017,12572
"235",23065,34249,12620
"236",23066,2733,12571
"237",23066,3835,12571
"238",23067,2800,12600
"239",23068,1996,12495
"240",23068,3835,12495
"241",23082,661,12686
"242",23082,1610,12686
"243",23086,1610,12671
"244",23086,34249,12671
"245",23087,34017,12160
"246",23090,3367,12695
"247",23095,3367,12381
"248",23097,2110,12721
"249",23098,661,11524
"250",23099,1996,12575
"251",23099,2110,12575
"252",23101,4092,9201
"253",23102,2123,12690
"254",23106,4092,12666
"255",23108,2800,11959
