COVERAGE_TYPE,VESSEL_TYPE,GEAR_TYPE,MGM_CODE,NMFS_REGION,OBSERVER_ROLE
FULL,CP/MS,HAL,CDQ,AI,LEAD
FULL,CP/MS,HAL,CDQ,AI,SECOND
FULL,CP/MS,HAL,CDQ,BS,LEAD
FULL,CP/MS,HAL,CDQ,BS,SECOND
FULL,CP/MS,HAL,CDQ,GOA,LEAD
FULL,CP/MS,HAL,CDQ,GOA,SECOND
FULL,CP/MS,HAL,IFQ,AI,LEAD
FULL,CP/MS,HAL,IFQ,AI,SECOND
FULL,CP/MS,HAL,IFQ,BS,LEAD
FULL,CP/MS,HAL,IFQ,BS,SECOND
FULL,CP/MS,HAL,IFQ,GOA,LEAD
FULL,CP/MS,HAL,IFQ,GOA,SECOND
FULL,CP/MS,HAL,OA,AI,LEAD
FULL,CP/MS,HAL,OA,AI,SECOND
FULL,CP/MS,HAL,OA,BS,LEAD
FULL,CP/MS,HAL,OA,BS,SECOND
FULL,CP/MS,HAL,OA,GOA,LEAD
FULL,CP/MS,HAL,OA,GOA,SECOND
FULL,CP/MS,NPT,A80,AI,LEAD
FULL,CP/MS,NPT,A80,AI,SECOND
FULL,CP/MS,NPT,A80,BS,LEAD
FULL,CP/MS,NPT,A80,BS,SECOND
FULL,CP/MS,NPT,AFA,BS,LEAD
FULL,CP/MS,NPT,AFA,BS,SECOND
FULL,CP/MS,NPT,CDQ,AI,LEAD
FULL,CP/MS,NPT,CDQ,AI,SECOND
FULL,CP/MS,NPT,CDQ,BS,LEAD
FULL,CP/MS,NPT,CDQ,BS,SECOND
FULL,CP/MS,NPT,OA,GOA,LEAD
FULL,CP/MS,NPT,OA,GOA,SECOND
FULL,CP/MS,NPT,RPP,GOA,LEAD
FULL,CP/MS,NPT,RPP,GOA,SECOND
FULL,CP/MS,POT,CDQ,AI,LEAD
FULL,CP/MS,POT,CDQ,AI,SECOND
FULL,CP/MS,POT,CDQ,BS,LEAD
FULL,CP/MS,POT,CDQ,BS,SECOND
FULL,CP/MS,POT,IFQ,AI,LEAD
FULL,CP/MS,POT,IFQ,AI,SECOND
FULL,CP/MS,POT,IFQ,BS,LEAD
FULL,CP/MS,POT,IFQ,BS,SECOND
FULL,CP/MS,POT,OA,AI,LEAD
FULL,CP/MS,POT,OA,AI,SECOND
FULL,CP/MS,POT,OA,BS,LEAD
FULL,CP/MS,POT,OA,BS,SECOND
FULL,CP/MS,PTR,A80,AI,LEAD
FULL,CP/MS,PTR,A80,AI,SECOND
FULL,CP/MS,PTR,A80,BS,LEAD
FULL,CP/MS,PTR,A80,BS,SECOND
FULL,CP/MS,PTR,AFA,AI,LEAD
FULL,CP/MS,PTR,AFA,AI,SECOND
FULL,CP/MS,PTR,AFA,BS,LEAD
FULL,CP/MS,PTR,AFA,BS,SECOND
FULL,CP/MS,PTR,CDQ,AI,LEAD
FULL,CP/MS,PTR,CDQ,AI,SECOND
FULL,CP/MS,PTR,CDQ,BS,LEAD
FULL,CP/MS,PTR,CDQ,BS,SECOND
FULL,CP/MS,PTR,OA,GOA,LEAD
FULL,CP/MS,PTR,OA,GOA,SECOND
FULL,CP/MS,PTR,RPP,GOA,LEAD
FULL,CP/MS,PTR,RPP,GOA,SECOND
FULL,CV,NPT,OA,AI,SOLE
FULL,CV,NPT,OA,BS,SOLE
FULL,CV,NPT,RPP,GOA,SOLE
FULL,CV,PTR,AFA,AI,SOLE
FULL,CV,PTR,AFA,BS,SOLE
FULL,CV,PTR,RPP,AI,SOLE
FULL,CV,PTR,RPP,BS,SOLE
FULL,PLANT,PTR,AFA,AI,LEAD
FULL,PLANT,PTR,AFA,BS,SECOND
PARTIAL,CP/MS,HAL,IFQ,GOA,SOLE
PARTIAL,CV,HAL,CDQ,BS,SOLE
PARTIAL,CV,HAL,IFQ,AI,SOLE
PARTIAL,CV,HAL,IFQ,BS,SOLE
PARTIAL,CV,HAL,IFQ,GOA,SOLE
PARTIAL,CV,HAL,OA,BS,SOLE
PARTIAL,CV,HAL,OA,GOA,SOLE
PARTIAL,CV,NPT,OA,BS,SOLE
PARTIAL,CV,NPT,OA,GOA,SOLE
PARTIAL,CV,POT,CDQ,AI,SOLE
PARTIAL,CV,POT,CDQ,BS,SOLE
PARTIAL,CV,POT,OA,AI,SOLE
PARTIAL,CV,POT,OA,BS,SOLE
PARTIAL,CV,POT,OA,GOA,SOLE
PARTIAL,CV,PTR,OA,GOA,SOLE
