"","COVERAGE_TYPE","VESSEL_TYPE","GEAR_TYPE","MANAGEMENT_PROGRAM_CODE","NMFS_REGION","TOTAL_DAYS","TOTAL_CRUISES","TOTAL_OBSERVERS","DISTINCT_OBSERVER_ASSIGNMENTS","FACTOR_GROUP"
"1","FULL","CP/MS","HAL","CDQ","BSAI",517,30,27,30,"FULLCP/MSHALCDQBSAI"
"2","FULL","CP/MS","HAL","IFQ","GOA",172,4,4,4,"FULLCP/MSHALIFQGOA"
"3","FULL","CP/MS","HAL","OA","BSAI",4301,99,76,103,"FULLCP/MSHALOABSAI"
"4","FULL","CP/MS","HAL","OA","GOA",68,4,4,4,"FULLCP/MSHALOAGOA"
"5","FULL","CP/MS","NPT","A80","BSAI",10452,218,163,232,"FULLCP/MSNPTA80BSAI"
"6","FULL","CP/MS","NPT","CDQ","BSAI",2181,102,87,102,"FULLCP/MSNPTCDQBSAI"
"7","FULL","CP/MS","NPT","OA","BSAI",2205,90,80,90,"FULLCP/MSNPTOABSAI"
"8","FULL","CP/MS","NPT","OA","GOA",798,30,30,31,"FULLCP/MSNPTOAGOA"
"9","FULL","CP/MS","NPT","RPP","GOA",277,11,11,11,"FULLCP/MSNPTRPPGOA"
"10","FULL","CP/MS","POT","CDQ","BSAI",147,6,6,6,"FULLCP/MSPOTCDQBSAI"
"11","FULL","CP/MS","POT","OA","BSAI",152,11,11,11,"FULLCP/MSPOTOABSAI"
"12","FULL","CP/MS","PTR","AFA","BSAI",4842,108,97,113,"FULLCP/MSPTRAFABSAI"
"13","FULL","CP/MS","PTR","CDQ","BSAI",1256,66,61,67,"FULLCP/MSPTRCDQBSAI"
"14","FULL","CV","NPT","OA","BSAI",385,22,20,22,"FULLCVNPTOABSAI"
"15","FULL","CV","NPT","RPP","GOA",530,37,36,52,"FULLCVNPTRPPGOA"
"16","FULL","CV","PTR","AFA","BSAI",8547,234,189,281,"FULLCVPTRAFABSAI"
"17","FULL","CV","PTR","RPP","GOA",247,36,33,43,"FULLCVPTRRPPGOA"
"18","FULL","PLANT",NA,"AFA","BSAI",2441,64,61,66,"FULLPLANTNAAFABSAI"
"19","PARTIAL","CV","HAL","CDQ","BSAI",32,5,5,5,"PARTIALCVHALCDQBSAI"
"20","PARTIAL","CV","HAL","IFQ","BSAI",196,20,17,26,"PARTIALCVHALIFQBSAI"
"21","PARTIAL","CV","HAL","IFQ","GOA",1590,76,50,244,"PARTIALCVHALIFQGOA"
"22","PARTIAL","CV","HAL","OA","BSAI",11,3,3,4,"PARTIALCVHALOABSAI"
"23","PARTIAL","CV","HAL","OA","GOA",37,8,8,9,"PARTIALCVHALOAGOA"
"24","PARTIAL","CV","NPT","OA","BSAI",248,23,22,32,"PARTIALCVNPTOABSAI"
"25","PARTIAL","CV","NPT","OA","GOA",303,44,29,70,"PARTIALCVNPTOAGOA"
"26","PARTIAL","CV","POT","CDQ","BSAI",20,3,3,3,"PARTIALCVPOTCDQBSAI"
"27","PARTIAL","CV","POT","IFQ","BSAI",16,4,4,4,"PARTIALCVPOTIFQBSAI"
"28","PARTIAL","CV","POT","IFQ","GOA",121,17,16,18,"PARTIALCVPOTIFQGOA"
"29","PARTIAL","CV","POT","OA","BSAI",283,30,25,47,"PARTIALCVPOTOABSAI"
"30","PARTIAL","CV","POT","OA","GOA",39,7,7,7,"PARTIALCVPOTOAGOA"
"31","PARTIAL","CV","PTR","OA","GOA",925,73,47,192,"PARTIALCVPTROAGOA"
