,CALENDAR_YEAR,COVERAGE_TYPE,VESSEL_TYPE,GEAR_TYPE,MANAGEMENT_PROGRAM_CODE,NMFS_REGION,ALL OTHER STATEMENT TYPES,COAST GUARD,LIMITED ACCESS PROGRAMS,OLE PRIORITY: INTER-PERSONAL,OLE PRIORITY: SAFETY AND DUTIES,PROTECTED RESOURCE & PROHIBITED SPECIES,TOTAL_DAYS,TOTAL_CRUISES,TOTAL_OBSERVERS,DISTINCT_OBSERVER_ASSIGNMENTS,TOTAL_STATEMENTS,TOTAL_INCIDENTS,FACTOR_GROUP
1,2019,FULL,CP/MS,HAL,CDQ,BSAI,36.00193296,8.260784519,10.4737903,1.061696355,0.204012241,1.445086705,519,30,27,30,9.908285401,29.8151503,FULLCP/MSHALCDQBSAI
2,2019,FULL,CP/MS,HAL,IFQ,BSAI,NA,NA,NA,NA,NA,NA,49,3,3,3,0,0,FULLCP/MSHALIFQBSAI
3,2019,FULL,CP/MS,HAL,IFQ,GOA,22.87804941,11.99850401,NA,3.552971576,NA,3.849780013,172,4,4,4,5.221400348,7.272040462,FULLCP/MSHALIFQGOA
4,2019,FULL,CP/MS,HAL,OA,BSAI,128.7229524,11.34748541,4.550849695,2.288408579,2.301492823,12.69779899,4299,99,76,103,89.20937209,696.0467389,FULLCP/MSHALOABSAI
5,2019,FULL,CP/MS,HAL,OA,GOA,NA,42.14809358,NA,NA,NA,NA,68,4,4,4,1.660942159,2.866070364,FULLCP/MSHALOAGOA
6,2019,FULL,CP/MS,NPT,A80,BSAI,18.79257518,20.86330471,47.31264744,13.37414641,20.68892622,14.34749785,10460,218,163,232,296.8931793,1416.065363,FULLCP/MSNPTA80BSAI
7,2019,FULL,CP/MS,NPT,CDQ,BSAI,7.555630104,11.87154556,67.27420368,7.280340641,10.65789415,11.54842941,2186,102,87,102,43.31721299,253.9870632,FULLCP/MSNPTCDQBSAI
8,2019,FULL,CP/MS,NPT,OA,BSAI,9.107901108,16.83822928,61.07198021,3.913870974,5.561137565,11.61479229,2211,90,80,90,53.34047737,239.0265922,FULLCP/MSNPTOABSAI
9,2019,FULL,CP/MS,NPT,OA,GOA,30.622471,15.23749368,6.056578362,25.01986557,1.256281407,NA,796,30,30,31,16.64780107,62.24138125,FULLCP/MSNPTOAGOA
10,2019,FULL,CP/MS,NPT,RPP,GOA,1.438848921,31.17637282,7.842319144,2.238209432,NA,NA,278,11,11,11,6.89002389,11.86941859,FULLCP/MSNPTRPPGOA
11,2019,FULL,CP/MS,POT,CDQ,BSAI,9.773385,30.75489282,3.022759602,9.779516358,NA,NA,148,6,6,6,5.445553539,7.89292196,FULLCP/MSPOTCDQBSAI
12,2019,FULL,CP/MS,POT,OA,BSAI,6.756756757,6.756756757,6.756756757,NA,NA,NA,148,10,10,10,3,3,FULLCP/MSPOTOABSAI
13,2019,FULL,CP/MS,PTR,AFA,BSAI,39.35747702,28.0417631,233.4055339,7.847334369,4.836603887,67.95702758,4850,108,97,113,159.1953459,1850.011838,FULLCP/MSPTRAFABSAI
14,2019,FULL,CP/MS,PTR,CDQ,BSAI,38.55467663,21.22742869,22.42240448,3.958676531,2.037236497,9.141359158,1248,66,61,67,29.40015968,121.4825439,FULLCP/MSPTRCDQBSAI
15,2019,FULL,CV,NPT,OA,BSAI,58.43919647,31.53292949,NA,16.90482892,NA,20.96141621,385,22,20,22,11.94196146,49.21777287,FULLCVNPTOABSAI
16,2019,FULL,CV,NPT,RPP,GOA,119.7179288,9.953135155,2.974293605,2.029710252,47.32208518,13.98758704,523,37,36,52,32.5397855,102.500019,FULLCVNPTRPPGOA
17,2019,FULL,CV,PTR,AFA,BSAI,55.15306155,9.912049796,2.106002106,3.527925509,1.999802,7.128800135,8547,234,189,281,204.1318906,682.2868484,FULLCVPTRAFABSAI
18,2019,FULL,CV,PTR,RPP,GOA,166.6479042,11.51389353,1.74291939,1.085972851,20.22839905,2.684282269,255,36,33,43,20.38636242,51.99535968,FULLCVPTRRPPGOA
19,2019,FULL,PLANT, ,AFA,BSAI,224.9078247,1.229004506,1.229004506,9.012699713,35.23146252,20.48340844,2441,64,61,66,52,713,FULLPLANT AFABSAI
20,2019,PARTIAL,CV,HAL,CDQ,BSAI,33.33333333,NA,NA,NA,NA,133.3333333,30,5,5,5,2,5,PARTIALCVHALCDQBSAI
21,2019,PARTIAL,CV,HAL,IFQ,BSAI,86.16841133,1.034482759,63.75,NA,NA,6.25,200,20,17,26,4.968987909,31.44057882,PARTIALCVHALIFQBSAI
22,2019,PARTIAL,CV,HAL,IFQ,GOA,50.35486508,6.623221277,37.33459357,0.630119723,5.671077505,56.40783287,1587,76,50,244,82.58812165,249.1934538,PARTIALCVHALIFQGOA
23,2019,PARTIAL,CV,HAL,OA,BSAI,NA,NA,NA,NA,NA,NA,11,3,3,4,0,0,PARTIALCVHALOABSAI
24,2019,PARTIAL,CV,HAL,OA,GOA,54.05405405,NA,NA,NA,27.02702703,432.4324324,37,8,8,9,4,19,PARTIALCVHALOAGOA
25,2019,PARTIAL,CV,NPT,OA,BSAI,123.5768501,17.43358634,NA,4.032258065,24.19354839,48.38709677,248,23,22,32,16.14705882,53.97058824,PARTIALCVNPTOABSAI
26,2019,PARTIAL,CV,NPT,OA,GOA,55.46085744,9.900990099,NA,19.51499498,19.8019802,96.09037827,303,44,29,70,31.37152944,60.8330679,PARTIALCVNPTOAGOA
27,2019,PARTIAL,CV,POT,CDQ,BSAI,NA,NA,NA,NA,NA,NA,20,3,3,3,0,0,PARTIALCVPOTCDQBSAI
28,2019,PARTIAL,CV,POT,IFQ,BSAI,250,NA,625,NA,125,NA,16,4,4,4,4,16,PARTIALCVPOTIFQBSAI
29,2019,PARTIAL,CV,POT,IFQ,GOA,40.90081139,10.50861707,32.78688525,NA,NA,NA,122,17,16,18,8.271950272,10.27195027,PARTIALCVPOTIFQGOA
30,2019,PARTIAL,CV,POT,OA,BSAI,123.6749117,28.26855124,NA,NA,14.13427562,NA,283,30,25,47,29,47,PARTIALCVPOTOABSAI
31,2019,PARTIAL,CV,POT,OA,GOA,NA,25.64102564,NA,NA,NA,NA,39,7,7,7,1,1,PARTIALCVPOTOAGOA
32,2019,PARTIAL,CV,PTR,OA,GOA,49.5849885,4.996229261,NA,4.36640654,11.75213675,27.90105194,936,73,47,192,69.65235191,92.29036096,PARTIALCVPTROAGOA
33,2020,FULL,CP/MS,HAL,CDQ,BSAI,12.82797474,9.337316196,58.91120903,NA,2.437137331,2.443584784,517,26,22,26,6.431338643,44.43988381,FULLCP/MSHALCDQBSAI
34,2020,FULL,CP/MS,HAL,IFQ,BSAI,NA,3.591470258,36.36363636,NA,NA,NA,33,3,3,3,0.162962963,1.318518519,FULLCP/MSHALIFQBSAI
35,2020,FULL,CP/MS,HAL,IFQ,GOA,13.94808214,10.31182287,128.0898876,NA,3.487020535,NA,89,3,3,3,2.27100894,13.86947637,FULLCP/MSHALIFQGOA
36,2020,FULL,CP/MS,HAL,OA,BSAI,20.72310812,7.306775726,22.34914871,5.870841487,19.68958769,5.517659118,3577,71,54,73,62.13468945,291.3721213,FULLCP/MSHALOABSAI
37,2020,FULL,CP/MS,NPT,A80,BSAI,19.16042025,12.09516451,12.79570093,8.297864814,2.57983881,34.99325955,9902,165,136,167,217.6649632,890.4101082,FULLCP/MSNPTA80BSAI
38,2020,FULL,CP/MS,NPT,CDQ,BSAI,5.899767696,8.821260514,26.05874001,3.58868553,1.453671536,4.760404058,1631,75,70,75,24.2710518,82.50010536,FULLCP/MSNPTCDQBSAI
39,2020,FULL,CP/MS,NPT,OA,BSAI,5.78916189,7.4769788,22.46785894,1.606704462,1.35529608,7.201293562,1744,67,63,67,21.38993996,80.04488028,FULLCP/MSNPTOABSAI
40,2020,FULL,CP/MS,NPT,OA,GOA,160.5252792,5.09356852,7.432473829,7.220099377,1.951394425,5.198439275,635,26,25,26,10.4034204,119.0124967,FULLCP/MSNPTOAGOA
41,2020,FULL,CP/MS,NPT,RPP,GOA,2.08438575,11.63968547,4.956672183,1.995103438,4.450391676,2.32090001,298,11,11,11,5.211755698,8.179247282,FULLCP/MSNPTRPPGOA
42,2020,FULL,CP/MS,POT,CDQ,BSAI,NA,22.34636872,NA,NA,NA,NA,179,7,7,7,2,4,FULLCP/MSPOTCDQBSAI
43,2020,FULL,CP/MS,POT,OA,BSAI,243.5897436,6.41025641,NA,NA,NA,NA,156,12,12,12,2,39,FULLCP/MSPOTOABSAI
44,2020,FULL,CP/MS,PTR,A80,BSAI,NA,2.551020408,NA,NA,NA,6.458279514,28,5,5,5,0.180831826,0.252260398,FULLCP/MSPTRA80BSAI
45,2020,FULL,CP/MS,PTR,AFA,BSAI,10.61532464,18.3946267,11.47648283,7.134381797,0.702493853,23.29382748,5694,91,74,94,106.9319045,407.7879798,FULLCP/MSPTRAFABSAI
46,2020,FULL,CP/MS,PTR,CDQ,BSAI,1.874150676,13.38782667,1.211808487,4.675095345,NA,22.26169084,1364,56,50,56,19.06809553,59.21202023,FULLCP/MSPTRCDQBSAI
47,2020,FULL,CP/MS,PTR,RPP,GOA,NA,23.99728579,9.639750787,NA,3.593239159,NA,43,4,4,4,0.878037135,1.600901857,FULLCP/MSPTRRPPGOA
48,2020,FULL,CV,NPT,OA,BSAI,7.295185746,6.703270314,NA,11.08158384,3.477371685,32.03805229,530,31,31,33,8.912750601,32.11559585,FULLCVNPTOABSAI
49,2020,FULL,CV,NPT,RPP,GOA,21.62124236,7.514662757,NA,16.0618793,1.183712121,2.272727273,352,32,30,40,11.65320148,17.12628678,FULLCVNPTRPPGOA
50,2020,FULL,CV,PTR,AFA,BSAI,46.81243014,11.80350068,0.219707789,6.824866589,7.81687279,10.10873693,9103,163,146,189,145.0872494,760.8844041,FULLCVPTRAFABSAI
51,2020,FULL,CV,PTR,RPP,GOA,40.55687609,3.584229391,NA,2.494331066,14.7707231,0.529100529,378,36,31,47,12.94343718,23.41152835,FULLCVPTRRPPGOA
52,2020,FULL,PLANT, ,AFA,BSAI,14.3567099,3.338851275,1.44092219,3.837962185,4.232681734,4.335575343,4858,68,58,69,70.79897144,153.2344494,FULLPLANT AFABSAI
53,2020,FULL,PLANT, ,OA,BSAI,8.423512146,5.233963125,NA,2.383756403,2.937128425,6.293791841,149,13,10,13,2.201028562,3.765550639,FULLPLANT OABSAI
54,2020,FULL,PLANT, ,OA,GOA,397.8300181,NA,NA,18.08318264,244.1229656,276.6726944,553,14,14,15,38,518,FULLPLANT OAGOA
55,2020,PARTIAL,CV,HAL,CDQ,BSAI,NA,NA,NA,NA,NA,NA,26,3,3,4,0,0,PARTIALCVHALCDQBSAI
56,2020,PARTIAL,CV,HAL,IFQ,BSAI,5.83090379,47.61904762,6.802721088,NA,6.802721088,NA,49,4,4,6,2.142857143,3.285714286,PARTIALCVHALIFQBSAI
57,2020,PARTIAL,CV,HAL,IFQ,GOA,82.84871471,14.74926254,1.474926254,6.04719764,3.687315634,112.8318584,452,34,28,72,18.32380952,100.1809524,PARTIALCVHALIFQGOA
58,2020,PARTIAL,CV,NPT,OA,BSAI,64.1025641,NA,NA,51.28205128,12.82051282,NA,78,13,13,16,5,10,PARTIALCVNPTOABSAI
59,2020,PARTIAL,CV,NPT,OA,GOA,56.71285237,12.42236025,NA,6.211180124,NA,58.69565217,161,24,21,41,10.38076923,21.58076923,PARTIALCVNPTOAGOA
60,2020,PARTIAL,CV,POT,IFQ,BSAI,431.8181818,22.72727273,613.6363636,NA,NA,68.18181818,44,4,4,5,7,50,PARTIALCVPOTIFQBSAI
61,2020,PARTIAL,CV,POT,IFQ,GOA,187.2255489,NA,11.9760479,25.5489022,131.7365269,NA,167,18,17,24,12.53333333,59.53333333,PARTIALCVPOTIFQGOA
62,2020,PARTIAL,CV,POT,OA,BSAI,70.3125,23.4375,NA,NA,NA,NA,128,17,16,23,6,12,PARTIALCVPOTOABSAI
63,2020,PARTIAL,CV,PTR,OA,GOA,61.33353007,7.246376812,NA,5.084642553,10.86956522,20.10869565,276,27,25,63,18.02259211,28.88141564,PARTIALCVPTROAGOA
64,2020,PARTIAL,PLANT, ,OA,GOA,42.55319149,NA,NA,NA,NA,21.27659574,282,5,5,6,11,18,PARTIALPLANT OAGOA
