"","CALENDAR_YEAR","COVERAGE_TYPE","VESSEL_TYPE","GEAR_TYPE","MANAGEMENT_PROGRAM_CODE","NMFS_REGION","TOTAL_DAYS","TOTAL_CRUISES","TOTAL_OBSERVERS","DISTINCT_OBSERVER_ASSIGNMENTS","FACTOR_GROUP"
"1",2019,"FULL","CP/MS","HAL","CDQ","BSAI",519,30,27,30,"FULLCP/MSHALCDQBSAI"
"2",2019,"FULL","CP/MS","HAL","IFQ","BSAI",49,3,3,3,"FULLCP/MSHALIFQBSAI"
"3",2019,"FULL","CP/MS","HAL","IFQ","GOA",172,4,4,4,"FULLCP/MSHALIFQGOA"
"4",2019,"FULL","CP/MS","HAL","OA","BSAI",4299,99,76,103,"FULLCP/MSHALOABSAI"
"5",2019,"FULL","CP/MS","HAL","OA","GOA",68,4,4,4,"FULLCP/MSHALOAGOA"
"6",2019,"FULL","CP/MS","NPT","A80","BSAI",10460,218,163,232,"FULLCP/MSNPTA80BSAI"
"7",2019,"FULL","CP/MS","NPT","CDQ","BSAI",2186,102,87,102,"FULLCP/MSNPTCDQBSAI"
"8",2019,"FULL","CP/MS","NPT","OA","BSAI",2211,90,80,90,"FULLCP/MSNPTOABSAI"
"9",2019,"FULL","CP/MS","NPT","OA","GOA",796,30,30,31,"FULLCP/MSNPTOAGOA"
"10",2019,"FULL","CP/MS","NPT","RPP","GOA",278,11,11,11,"FULLCP/MSNPTRPPGOA"
"11",2019,"FULL","CP/MS","POT","CDQ","BSAI",148,6,6,6,"FULLCP/MSPOTCDQBSAI"
"12",2019,"FULL","CP/MS","POT","OA","BSAI",148,10,10,10,"FULLCP/MSPOTOABSAI"
"13",2019,"FULL","CP/MS","PTR","AFA","BSAI",4850,108,97,113,"FULLCP/MSPTRAFABSAI"
"14",2019,"FULL","CP/MS","PTR","CDQ","BSAI",1248,66,61,67,"FULLCP/MSPTRCDQBSAI"
"15",2019,"FULL","CV","NPT","OA","BSAI",385,22,20,22,"FULLCVNPTOABSAI"
"16",2019,"FULL","CV","NPT","RPP","GOA",523,37,36,52,"FULLCVNPTRPPGOA"
"17",2019,"FULL","CV","PTR","AFA","BSAI",8547,234,189,281,"FULLCVPTRAFABSAI"
"18",2019,"FULL","CV","PTR","RPP","GOA",255,36,33,43,"FULLCVPTRRPPGOA"
"19",2019,"FULL","PLANT"," ","AFA","BSAI",2441,64,61,66,"FULLPLANT AFABSAI"
"20",2019,"PARTIAL","CV","HAL","CDQ","BSAI",30,5,5,5,"PARTIALCVHALCDQBSAI"
"21",2019,"PARTIAL","CV","HAL","IFQ","BSAI",200,20,17,26,"PARTIALCVHALIFQBSAI"
"22",2019,"PARTIAL","CV","HAL","IFQ","GOA",1587,76,50,244,"PARTIALCVHALIFQGOA"
"23",2019,"PARTIAL","CV","HAL","OA","BSAI",11,3,3,4,"PARTIALCVHALOABSAI"
"24",2019,"PARTIAL","CV","HAL","OA","GOA",37,8,8,9,"PARTIALCVHALOAGOA"
"25",2019,"PARTIAL","CV","NPT","OA","BSAI",248,23,22,32,"PARTIALCVNPTOABSAI"
"26",2019,"PARTIAL","CV","NPT","OA","GOA",303,44,29,70,"PARTIALCVNPTOAGOA"
"27",2019,"PARTIAL","CV","POT","CDQ","BSAI",20,3,3,3,"PARTIALCVPOTCDQBSAI"
"28",2019,"PARTIAL","CV","POT","IFQ","BSAI",16,4,4,4,"PARTIALCVPOTIFQBSAI"
"29",2019,"PARTIAL","CV","POT","IFQ","GOA",122,17,16,18,"PARTIALCVPOTIFQGOA"
"30",2019,"PARTIAL","CV","POT","OA","BSAI",283,30,25,47,"PARTIALCVPOTOABSAI"
"31",2019,"PARTIAL","CV","POT","OA","GOA",39,7,7,7,"PARTIALCVPOTOAGOA"
"32",2019,"PARTIAL","CV","PTR","OA","GOA",936,73,47,192,"PARTIALCVPTROAGOA"
"33",2020,"FULL","CP/MS","HAL","CDQ","BSAI",517,26,22,26,"FULLCP/MSHALCDQBSAI"
"34",2020,"FULL","CP/MS","HAL","IFQ","BSAI",33,3,3,3,"FULLCP/MSHALIFQBSAI"
"35",2020,"FULL","CP/MS","HAL","IFQ","GOA",89,3,3,3,"FULLCP/MSHALIFQGOA"
"36",2020,"FULL","CP/MS","HAL","OA","BSAI",3577,71,54,73,"FULLCP/MSHALOABSAI"
"37",2020,"FULL","CP/MS","NPT","A80","BSAI",9902,165,136,167,"FULLCP/MSNPTA80BSAI"
"38",2020,"FULL","CP/MS","NPT","CDQ","BSAI",1631,75,70,75,"FULLCP/MSNPTCDQBSAI"
"39",2020,"FULL","CP/MS","NPT","OA","BSAI",1744,67,63,67,"FULLCP/MSNPTOABSAI"
"40",2020,"FULL","CP/MS","NPT","OA","GOA",635,26,25,26,"FULLCP/MSNPTOAGOA"
"41",2020,"FULL","CP/MS","NPT","RPP","GOA",298,11,11,11,"FULLCP/MSNPTRPPGOA"
"42",2020,"FULL","CP/MS","POT","CDQ","BSAI",179,7,7,7,"FULLCP/MSPOTCDQBSAI"
"43",2020,"FULL","CP/MS","POT","OA","BSAI",156,12,12,12,"FULLCP/MSPOTOABSAI"
"44",2020,"FULL","CP/MS","PTR","A80","BSAI",28,5,5,5,"FULLCP/MSPTRA80BSAI"
"45",2020,"FULL","CP/MS","PTR","AFA","BSAI",5694,91,74,94,"FULLCP/MSPTRAFABSAI"
"46",2020,"FULL","CP/MS","PTR","CDQ","BSAI",1364,56,50,56,"FULLCP/MSPTRCDQBSAI"
"47",2020,"FULL","CP/MS","PTR","RPP","GOA",43,4,4,4,"FULLCP/MSPTRRPPGOA"
"48",2020,"FULL","CV","NPT","OA","BSAI",530,31,31,33,"FULLCVNPTOABSAI"
"49",2020,"FULL","CV","NPT","RPP","GOA",352,32,30,40,"FULLCVNPTRPPGOA"
"50",2020,"FULL","CV","PTR","AFA","BSAI",9103,163,146,189,"FULLCVPTRAFABSAI"
"51",2020,"FULL","CV","PTR","RPP","GOA",378,36,31,47,"FULLCVPTRRPPGOA"
"52",2020,"FULL","PLANT"," ","AFA","BSAI",4858,68,58,69,"FULLPLANT AFABSAI"
"53",2020,"FULL","PLANT"," ","OA","BSAI",149,13,10,13,"FULLPLANT OABSAI"
"54",2020,"FULL","PLANT"," ","OA","GOA",553,14,14,15,"FULLPLANT OAGOA"
"55",2020,"PARTIAL","CV","HAL","CDQ","BSAI",26,3,3,4,"PARTIALCVHALCDQBSAI"
"56",2020,"PARTIAL","CV","HAL","IFQ","BSAI",49,4,4,6,"PARTIALCVHALIFQBSAI"
"57",2020,"PARTIAL","CV","HAL","IFQ","GOA",452,34,28,72,"PARTIALCVHALIFQGOA"
"58",2020,"PARTIAL","CV","NPT","OA","BSAI",78,13,13,16,"PARTIALCVNPTOABSAI"
"59",2020,"PARTIAL","CV","NPT","OA","GOA",161,24,21,41,"PARTIALCVNPTOAGOA"
"60",2020,"PARTIAL","CV","POT","IFQ","BSAI",44,4,4,5,"PARTIALCVPOTIFQBSAI"
"61",2020,"PARTIAL","CV","POT","IFQ","GOA",167,18,17,24,"PARTIALCVPOTIFQGOA"
"62",2020,"PARTIAL","CV","POT","OA","BSAI",128,17,16,23,"PARTIALCVPOTOABSAI"
"63",2020,"PARTIAL","CV","PTR","OA","GOA",276,27,25,63,"PARTIALCVPTROAGOA"
"64",2020,"PARTIAL","PLANT"," ","OA","GOA",282,5,5,6,"PARTIALPLANT OAGOA"
