"","NEW_OLE_CATEGORY","STATEMENT_TYPE","FREQ"
"1","CONTRACTOR REQUIREMENTS","ADMINISTRATIVE RESPONSIBILITIES",1
"2","CONTRACTOR REQUIREMENTS","DEPLOYMENT LOGISTICS",10
"3","GEAR/EQUIPMENT REQUIREMENTS","BIN MONITORING",6
"4","GEAR/EQUIPMENT REQUIREMENTS","OBSERVER SAMPLING STATION",18
"5","GEAR/EQUIPMENT REQUIREMENTS","SCALES",18
"6","GEAR/EQUIPMENT REQUIREMENTS","VIDEO MONITORING SYSTEM",9
"7","INTERFERENCE WITH DUTIES","ACCESS",1
"8","INTERFERENCE WITH DUTIES","DESTRUCTION OF SAMPLE/WORK/PERSONAL EFFECTS",3
"9","INTERFERENCE WITH DUTIES","NOTIFICATION",6
"10","INTERFERENCE WITH DUTIES","REASONABLE ASSISTANCE",6
"11","INTERFERENCE WITH DUTIES","SAMPLING INTERFERENCE",6
"12","MARPOL/OIL SPILL","DISCHARGE OF GARBAGE OR PLASTIC, OR LOSS OF FISHING GEAR",23
"13","MARPOL/OIL SPILL","DISCHARGE OF OIL",6
"14","OBSERVER SAFETY AND WORK ENVIRONMENT","ASSAULT",2
"15","OBSERVER SAFETY AND WORK ENVIRONMENT","FOOD AND ACCOMMODATIONS",3
"16","OBSERVER SAFETY AND WORK ENVIRONMENT","FORCED TO PERFORM CREW DUTIES",1
"17","OBSERVER SAFETY AND WORK ENVIRONMENT","HOSTILE WORK ENVIRONMENT",11
"18","OBSERVER SAFETY AND WORK ENVIRONMENT","IMPEDIMENT",3
"19","OBSERVER SAFETY AND WORK ENVIRONMENT","INTIMIDATION/BRIBERY/COERCION",8
"20","OBSERVER SAFETY AND WORK ENVIRONMENT","SAFETY",26
"21","OBSERVER SAFETY AND WORK ENVIRONMENT","SEXUAL HARASSMENT",11
"22","OPERATIONAL REQUIREMENTS","BELT AND FLOW OPERATIONS",3
"23","OPERATIONAL REQUIREMENTS","CATCH WEIGHING",9
"24","OPERATIONAL REQUIREMENTS","CMCP",4
"25","OPERATIONAL REQUIREMENTS","DATA TRANSMISSION",1
"26","OPERATIONAL REQUIREMENTS","MONITORING THE FLOW OF FISH",7
"27","OPERATIONAL REQUIREMENTS","OBSERVER COVERAGE",2
"28","OPERATIONAL REQUIREMENTS","OPERATIONAL LINE",1
"29","OPERATIONAL REQUIREMENTS","TIMELY NOTIFICATION",1
"30","PERMITS/DOCUMENTS/RECORD KEEPING AND REPORTING","FALSE REPORTING",9
"31","PERMITS/DOCUMENTS/RECORD KEEPING AND REPORTING","GENERAL REPORTING REQUIREMENTS",35
"32","PERMITS/DOCUMENTS/RECORD KEEPING AND REPORTING","IFQ PERMIT",1
"33","PERMITS/DOCUMENTS/RECORD KEEPING AND REPORTING","INSPECTION REPORTS",1
"34","PROHIBITED SPECIES/MARINE MAMMALS/SEABIRDS","BSAI SALMON BYCATCH",16
"35","PROHIBITED SPECIES/MARINE MAMMALS/SEABIRDS","GOA SALMON BYCATCH",6
"36","PROHIBITED SPECIES/MARINE MAMMALS/SEABIRDS","HALIBUT DECK SORTING",2
"37","PROHIBITED SPECIES/MARINE MAMMALS/SEABIRDS","MARINE MAMMAL",9
"38","PROHIBITED SPECIES/MARINE MAMMALS/SEABIRDS","PROHIBITED SPECIES MISHANDLING",27
"39","PROHIBITED SPECIES/MARINE MAMMALS/SEABIRDS","PROHIBITED SPECIES RETENTION",3
"40","SAFETY-USCG-EQUIPMENT","EPIRB",1
"41","SAFETY-USCG-EQUIPMENT","GENERAL SAFETY EQUIPMENT",11
"42","SAFETY-USCG-EQUIPMENT","SURVIVAL CRAFT",3
"43","SAFETY-USCG-FAIL TO CONDUCT DRILLS AND/OR SAFETY ORIENTATION","FAILURE TO CONDUCT DRILLS",14
"44","SAFETY-USCG-MARINE CASUALTY","MARINE CASUALTY",61
"45","SUSTAINABLE FISHERIES","UNLAWFUL DISCARD",19
